type habits,prix,adresse,image_lien
Djialabé,12000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5196625_uploaded_image1_1740145369.jpg
Jalaba homme,8000.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5207143_uploaded_image1_1740745195.jpg
T-shirt Jules,6500.0,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5167839_uploaded_image1_1738613049.jpg
Jellabs marocains homme,15000.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_5209751_uploaded_image1_1740878061.jpg
Ensemble short,5500.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5588150_uploaded_image1_1761247547.jpg
Jean Oversized,8000.0,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5473114_uploaded_image1_1755058671.jpg
Box homme,10000.0,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5216645_uploaded_image1_1741207257.jpg
Ensemble jogging,15000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5219558_uploaded_image1_1741347843.jpg
Chaussures homme,20000.0,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5179614_uploaded_image1_1739215765.jpg
Dialabé pour homme anfna,7500.0,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5226125_uploaded_image1_1741685568.jpg
Djalabé,10000.0,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5225528_uploaded_image1_1741651639.jpg
Jalabé  homme,20000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5226397_uploaded_image1_1741693787.jpg
Diokîn pour homme,27000.0,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5182298_uploaded_image1_1739364640.jpg
Jalaba homme,15000.0,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5228721_uploaded_image1_1741792647.jpg
Caleçon  homme,1000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5231448_uploaded_image1_1741937565.jpg
Chemise El Hadji,13000.0,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5232160_uploaded_image1_1741963646.jpg
Jalaba enfants,5000.0,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5232562_uploaded_image3_1741979905.jpeg
Ensemble courte manche homme,9000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5648700_uploaded_image1_1764522517.jpg
T-shirts,1800.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5233635_uploaded_image1_1742051112.jpg
Manchons de compression,2000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5234946_uploaded_image1_1742143585.jpg
